20 4.276 4.277 8.448 8.451 25.9
21 4.282 4.282 8.448 8.448 25.9
21 4.181 4.181 8.448 8.448 26.1
22 4.189 4.189 8.448 8.448 26.2
23 4.201 4.201 8.448 8.452 26.4
00 4.215 4.215 8.448 8.449 26.4
01 4.227 4.227 8.448 8.449 26.4
02 4.241 4.242 8.448 8.448 26.5
03 4.255 4.255 8.448 8.437 26.4
04 4.269 4.269 8.448 8.454 26.5
05 4.282 4.283 8.448 8.461 26.5
06 4.291 4.291 8.448 8.451 25.7
07 4.306 4.306 8.448 8.448 25.8
08 4.318 4.318 8.448 8.448 25.9
09 4.332 4.332 8.448 8.446 25.9
10 4.344 4.344 8.448 8.448 26.0
11 4.357 4.357 8.448 8.448 26.2
12 4.368 4.368 8.448 8.450 26.1
13 4.379 4.379 8.448 8.451 26.1
14 4.390 4.390 8.448 8.449 25.6
15 4.400 4.401 8.448 8.456 25.5
16 4.411 4.411 8.448 8.448 25.3
22 4.470 4.470 8.448 8.449 25.0
23 4.480 4.480 8.448 8.450 25.1
00 4.489 4.489 8.448 8.445 25.0
01 4.498 4.498 8.448 8.447 25.0
02 4.508 4.508 8.448 8.453 24.9
03 4.517 4.517 8.448 8.447 24.7
04 4.527 4.527 8.448 8.447 24.8
05 4.535 4.535 8.448 8.448 24.7
06 4.543 4.543 8.448 8.448 24.4
07 4.554 4.555 8.448 8.461 24.7
08 4.562 4.562 8.448 8.450 24.5
09 4.569 4.569 8.448 8.446 24.6
10 4.579 4.579 8.448 8.450 24.9
11 4.589 4.589 8.448 8.448 25.1
12 4.596 4.596 8.448 8.448 24.8
13 4.605 4.605 8.448 8.448 24.7
14 4.616 4.616 8.448 8.436 25.0
15 4.625 4.625 8.448 8.448 25.1
16 4.634 4.634 8.448 8.448 24.9
17 4.642 4.642 8.448 8.446 24.7
18 4.653 4.654 8.448 8.462 25.1
19 4.661 4.660 8.448 8.441 25.0
20 4.632 4.632 8.448 8.453 24.4
21 4.661 4.661 8.448 8.448 25.1
22 4.683 4.683 8.448 8.448 25.4
23 4.704 4.704 8.448 8.448 25.5
00 4.724 4.724 8.448 8.454 25.6
01 4.741 4.741 8.448 8.448 25.4
02 4.761 4.761 8.448 8.448 25.4
03 4.779 4.779 8.448 8.449 25.7
04 4.797 4.797 8.448 8.449 25.7
05 4.815 4.815 8.448 8.448 25.7
06 4.829 4.830 8.448 8.450 25.5
07 4.849 4.849 8.448 8.446 24.4
08 4.861 4.861 8.448 8.448 24.3
09 4.876 4.876 8.448 8.448 24.2
10 4.891 4.891 8.448 8.448 24.3
11 4.905 4.906 8.448 8.451 24.7
12 4.921 4.921 8.448 8.457 25.1
13 4.936 4.936 8.448 8.452 25.3
14 4.950 4.950 8.448 8.448 25.5
15 4.965 4.964 8.448 8.440 25.5
16 4.979 4.979 8.448 8.446 25.7
17 4.993 4.993 8.448 8.450 25.6
18 5.007 5.007 8.448 8.453 25.7
19 5.022 5.022 8.448 8.448 25.7
20 5.036 5.036 8.448 8.448 25.9
21 5.050 5.050 8.448 8.452 25.9
22 5.064 5.064 8.448 8.448 25.8
23 5.077 5.077 8.448 8.448 25.7
00 5.090 5.090 8.448 8.450 25.7
01 5.103 5.104 8.448 8.455 25.6
02 5.117 5.117 8.448 8.448 25.6
03 5.128 5.128 8.448 8.448 25.5
04 5.141 5.141 8.448 8.449 25.4
05 5.153 5.153 8.448 8.448 25.2
06 5.165 5.165 8.448 8.448 25.2
07 5.176 5.175 8.448 8.438 25.3
08 5.188 5.188 8.448 8.448 25.1
09 5.199 5.199 8.448 8.456 25.2
10 5.210 5.210 8.448 8.448 25.5
11 5.221 5.221 8.448 8.448 25.7
12 5.231 5.232 8.448 8.456 26.1
13 5.243 5.243 8.448 8.449 26.1
14 5.254 5.254 8.448 8.455 26.4
15 5.264 5.264 8.448 8.448 26.4
20 7.959 8.021 8.448 9.741 26.7
21 7.997 8.072 8.448 10.054 26.2
05 8.057 8.077 8.448 8.843 26.4
13 8.050 8.042 8.448 8.293 27.0
21 8.109 8.091 8.448 8.109 27.3
05 7.810 7.751 8.448 7.362 27.5
13 8.091 8.063 8.448 7.922 27.7
21 0.000 0.000 0.000 0.000 0.0
21 8.042 8.021 8.448 8.039 28.6
05 7.997 7.939 8.448 7.386 27.8
13 8.109 8.091 8.448 8.095 28.2
17 8.106 8.043 8.448 7.298 28.5
21 8.113 8.071 8.448 7.669 27.8
05 7.738 7.695 8.448 7.657 28.2
13 8.081 8.055 8.448 7.950 28.3
05 7.976 7.968 8.448 8.283 28.1
13 7.957 7.947 8.448 8.255 28.6
21 7.969 7.968 8.448 8.421 26.8
05 7.922 7.871 8.448 7.521 27.7
15 7.975 7.929 8.448 7.602 27.1
18 7.979 7.924 8.448 7.443 26.4
18 7.975 7.931 8.448 7.636 26.7
19 7.975 7.926 8.448 7.539 26.9
20 7.977 7.921 8.448 7.426 26.9
21 7.979 7.926 8.448 7.474 27.0
05 7.974 7.928 8.448 7.594 26.7
06 7.973 7.963 8.448 -8.255 26.7
13 7.964 7.956 8.448 8.298 27.2
19 7.960 7.957 8.448 8.387 27.4
21 7.959 7.958 8.448 8.434 27.4
09 7.959 7.948 8.448 8.226 27.4
13 7.950 7.961 8.448 8.664 27.6
21 7.956 7.939 8.448 8.112 27.1
05 7.933 7.932 8.448 8.427 27.2
13 7.919 7.911 8.448 8.287 27.5
21 7.917 7.910 8.448 8.314 27.4
05 7.920 7.909 8.448 8.231 26.9
13 7.904 7.895 8.448 8.275 27.6
21 7.908 7.900 8.448 8.290 27.5
05 7.914 7.906 8.448 8.298 27.4
13 7.908 7.897 8.448 8.233 26.9
21 7.920 7.913 8.448 8.316 25.9
05 7.931 7.924 8.448 8.315 25.1
13 7.922 7.920 8.448 8.414 26.5
21 7.922 7.918 8.448 8.368 27.1
05 7.915 7.911 8.448 8.370 27.1
13 7.899 7.893 8.448 8.335 27.7
21 7.886 7.786 8.830 7.000 29.6
05 7.891 7.788 8.830 6.957 29.1
13 7.887 7.783 8.830 6.935 29.6
21 7.888 7.787 8.830 6.993 29.7
05 7.893 7.797 8.830 7.066 28.9
13 7.897 7.807 8.830 7.174 29.4
21 7.892 7.807 8.830 7.254 29.7
05 7.893 7.810 8.830 7.281 29.3
13 7.896 7.813 8.830 7.281 29.6
21 7.895 7.812 8.830 7.287 29.7
05 7.893 7.809 8.830 7.267 29.4
13 7.891 7.808 8.830 7.282 29.9
21 7.898 7.813 8.830 7.249 29.8
05 7.905 7.818 8.830 7.222 29.1
13 7.906 7.819 8.830 7.221 29.5
21 7.905 7.816 8.830 7.194 29.2
05 7.908 7.838 8.830 7.509 29.0
13 7.903 7.817 8.830 7.236 29.5
21 7.901 7.814 8.830 7.216 29.4
05 7.901 7.816 8.830 7.255 28.9
13 7.892 7.806 8.830 7.235 29.6
21 7.895 7.810 8.830 7.256 29.6
05 7.895 7.811 8.830 7.268 29.4
13 7.893 7.810 8.830 7.282 29.4
21 7.882 7.791 8.830 7.161 28.9
05 7.862 7.768 8.830 7.115 28.9
13 7.867 7.788 8.830 7.355 29.1
21 7.873 7.791 8.830 7.314 28.9
